------------ Matrix Card ------------
   1   2   3   4   5   6   7   8   9
A 073 274 431 823 568 426 275 043 471
B 117 181 063 184 505 213 065 241 534
C 224 283 248 877 016 670 675 766 558
D 570 550 672 344 356 181 038 621 423
E 682 585 260 448 427 108 021 111 040
F 604 377 435 220 862 651 732 385 010
G 004 265 710 671 314 005 784 661 164
H 516 556 412 738 352 710 807 818 171
I 225 043 525 316 746 776 361 885 874
J 221 018 036 276 415 487 624 352 214
K 475 518 631 482 365 168 350 021 782
L 743 147 331 200 161 041 783 152 487
